# Default Map

# Background Object Spawn

# Floor
1 0 450 5200 150
#FloorBox
2 350 300 7
2 900 200 1
2 1000 200 1
2 1100 200 1
2 1200 200 1
2 1300 200 1
2 1400 200 1
2 1500 200 1
2 1600 200 1

2 2500 375 11
2 2500 275 5
2 2500 175 5
2 2800 275 5
2 2800 175 5

2 3500 220 2
2 3400 270 2
2 3300 320 2
2 3200 370 2
2 3100 420 2


2 3600 220 2
2 3700 270 2
2 3800 320 2
2 3900 370 2
2 4000 420 2


#Box
3 450 150 3
3 1050 300 1
3 1450 300 1

3 1700 100 1
3 1800 100 1
3 1900 100 1
3 2000 100 1
3 2100 100 1
3 1750 150 1
3 1850 150 1
3 1950 150 1
3 2050 150 1
3 2150 150 1
3 1700 200 1
3 1800 200 1
3 1900 200 1
3 2000 200 1
3 2100 200 1
3 1750 250 1
3 1850 250 1
3 1950 250 1
3 2050 250 1
3 2150 250 1
3 1700 300 1
3 1800 300 1
3 1900 300 1
3 2000 300 1
3 2100 300 1
3 1750 350 1
3 1850 350 1
3 1950 350 1
3 2050 350 1
3 2150 350 1

3 4300 0 1
3 4300 100 1
3 4300 200 1
3 4300 300 1
3 4300 400 1

#Generate Enemy
10000 200 800 5 0
10000 1200 1600 5 0
10001 900 1500 3 300
10000 1600 2300 2 0
10000 1600 2300 2 100
10000 1600 2300 2 320
10000 1600 2300 2 370
10000 2500 3000 3 250
10001 2500 3000 3 250
10000 2500 3000 3 150
10000 2500 3000 3 50
10000 3100 4000 10 0
10001 3100 4000 5 0
# Hero
23 0 0
